"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"15789","OPTCUR","USDINR","OPTION","27-Mar-2026",89.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.4475,0.6425,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.54,"USDINR"
"7491","OPTCUR","JPYINR","OPTION","27-Mar-2026",53.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",9.65,11.27,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",7.75,"JPYINR"
"2715","OPTCUR","EURINR","OPTION","27-Mar-2026",90.0000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.2475,0.4025,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.4275,"EURINR"
"8436","OPTCUR","JPYINR","OPTION","27-Mar-2026",56.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",0.5325,0.7925,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.825,"JPYINR"
"13697","OPTCUR","JPYINR","OPTION","27-Mar-2026",60.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",1.385,1.91,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.98,"JPYINR"
"14981","OPTCUR","USDINR","OPTION","27-Mar-2026",84.0000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.23,0.345,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.2875,"USDINR"
"15678","OPTCUR","USDINR","OPTION","27-Mar-2026",87.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",1.455,1.855,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.6575,"USDINR"
"16004","OPTCUR","USDINR","OPTION","27-Mar-2026",91.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.1225,0.1975,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.2425,"USDINR"
"11611","OPTCUR","USDINR","OPTION","27-Mar-2026",92.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",5.0925,5.7475,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.8075,"USDINR"
"11610","OPTCUR","USDINR","OPTION","27-Mar-2026",92.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.05,0.09,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.2025,"USDINR"
"11612","OPTCUR","USDINR","OPTION","27-Mar-2026",92.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0425,0.0775,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.175,"USDINR"
"8340","OPTCUR","EURINR","OPTION","27-Mar-2026",101.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",3.325,4.395,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.65,"EURINR"
"11613","OPTCUR","USDINR","OPTION","27-Mar-2026",92.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",5.32,5.98,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.0225,"USDINR"
"9416","OPTCUR","JPYINR","OPTION","27-Mar-2026",57.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",6.185,7.585,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.955,"JPYINR"
"14628","OPTCUR","JPYINR","OPTION","27-Mar-2026",61.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",4.0475,5.1925,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.855,"JPYINR"
"14962","OPTCUR","USDINR","OPTION","27-Mar-2026",81.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",4.9,5.56,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.2175,"USDINR"
"14991","OPTCUR","USDINR","OPTION","27-Mar-2026",85.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.4725,0.6725,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.5725,"USDINR"
"15790","OPTCUR","USDINR","OPTION","27-Mar-2026",89.0000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",2.22,2.72,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.47,"USDINR"
"3077","OPTCUR","EURINR","OPTION","27-Mar-2026",91.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.4025,0.6225,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.66,"EURINR"
"8832","OPTCUR","JPYINR","OPTION","27-Mar-2026",56.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",6.8925,8.3525,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.65,"JPYINR"
"14295","OPTCUR","JPYINR","OPTION","27-Mar-2026",61.0000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",1.615,2.2,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.2775,"JPYINR"
"14956","OPTCUR","USDINR","OPTION","27-Mar-2026",81.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",5.6,6.275,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.9275,"USDINR"
